nst,magError,magNst,longitude,gap,time,type,updated,id,place,latitude,mag,magSource,net,magType,horizontalError,status,depthError,locationSource,dmin,rms,depth
,,,-169.572,,2016-02-15T02:47:02.000Z,earthquake,2016-02-15T19:53:57.426Z,ak12820133,"68km SE of City of Saint Paul, Alaska",56.6735,2.9,ak,ak,ml,25.2,reviewed,23.7,ak,,0.57,30.4
12,0,11,-66.9544,223.2,2016-02-15T02:18:15.900Z,earthquake,2016-02-15T10:20:49.238Z,pr16046000,"22km NNE of Isabela, Puerto Rico",18.6881,2.8,pr,pr,Md,1.7,reviewed,1.5,pr,0.3880722,0.28,80
,0.106,26,131.0953,96,2016-02-15T02:13:14.670Z,earthquake,2016-02-17T06:25:06.541Z,us2000507q,"22km NW of Sorong, Indonesia",-0.7498,4.4,us,us,mb,9.1,reviewed,6.8,us,2.443,0.62,38.19
,,,-152.4168,,2016-02-15T02:08:17.000Z,earthquake,2016-02-15T19:36:40.244Z,ak12820116,"125km W of Willow, Alaska",61.7658,3.5,ak,ak,ml,0.3,reviewed,0.5,ak,,0.64,139.3
,0.081,40,-98.7131,91,2016-02-15T01:52:25.390Z,earthquake,2016-02-15T02:23:48.324Z,us2000507m,"30km NW of Fairview, Oklahoma",36.4647,2.8,us,us,mb_lg,1.9,reviewed,2,us,0.243,0.36,5
105,0.155,78,-122.0623333,61,2016-02-15T00:17:25.010Z,earthquake,2016-02-17T07:05:50.013Z,nc72591265,"1km E of Pacheco, California",37.982,2.79,nc,nc,md,0.25,reviewed,0.32,nc,0.05788,0.18,17.59
,,,-98.7511,115,2016-02-14T22:42:58.600Z,earthquake,2016-02-17T02:38:13.309Z,us20005075,"33km NW of Fairview, Oklahoma",36.472,3.4,tul,us,ml,2.7,reviewed,6.6,tul,,0.57,10.137
7,,2,-173.4385,313.199974944002,2016-02-14T22:30:46.000Z,earthquake,2016-02-15T19:07:04.378Z,ak12818561,"57km ESE of Atka, Alaska",51.99,2.8,ak,ak,ml,5.6,reviewed,1.7,ak,0.4940734,0.34,61.5
,0.062,34,-70.7681,111,2016-02-14T22:13:01.450Z,earthquake,2016-02-17T02:46:02.751Z,us200050s6,"9km NNE of Villa Gonzalez, Dominican Republic",19.6211,3.8,us,us,ml,5.3,reviewed,4.2,us,0.196,1.19,16.65
,0.148,14,123.3064,149,2016-02-14T19:12:22.230Z,earthquake,2016-02-15T03:14:56.186Z,us2000506f,"51km NE of Yonakuni, Japan",24.8377,4.8,us,us,mb,11.4,reviewed,8.1,us,0.456,0.76,43.98
,0.064,88,138.8501,93,2016-02-14T18:09:26.460Z,earthquake,2016-02-17T15:43:18.000Z,us2000505t,"Izu Islands, Japan region",30.3018,5.7,us,us,mb,10.2,reviewed,9.1,us,2.922,0.88,412.8
,0.104,27,-88.0554,194,2016-02-14T17:17:28.500Z,earthquake,2016-02-15T01:20:14.459Z,us2000505p,"93km SW of Jiquilillo, Nicaragua",12.1488,4.5,us,us,mb,8.7,reviewed,12.4,us,1.122,0.91,58.73
,0.114,20,-97.515,124,2016-02-14T16:58:35.100Z,earthquake,2016-02-14T22:07:58.190Z,us2000505d,"21km NNE of Crescent, Oklahoma",36.1392,2.6,us,us,mb_lg,1.5,reviewed,1.9,us,0.146,0.27,5
,0.109,22,-98.0108,90,2016-02-14T16:58:28.070Z,earthquake,2016-02-17T02:39:03.438Z,us2000505u,"26km S of Anthony, Kansas",36.9127,2.7,us,us,mb_lg,1.1,reviewed,3.4,us,0.058,0.23,6.85
,0.059,85,-88.1427,188,2016-02-14T16:33:20.300Z,earthquake,2016-02-15T00:35:50.197Z,us2000505a,"104km SW of Jiquilillo, Nicaragua",12.089,4.6,us,us,mb,2.9,reviewed,1.9,us,1.226,0.64,10
,0.083,46,-13.7302,60,2016-02-14T15:26:28.140Z,earthquake,2016-02-14T23:29:08.056Z,us20005055,North of Ascension Island,-1.0127,4.9,us,us,mb,10.4,reviewed,1.9,us,6.902,1,10
